,WORKSITE_STATE,SOC2,total_positions,avg_wage,avg_pw,wage_gap,avg_pw_level,sec_entity_rate,h1b_dep_rate,out_of_state_rate,new_emp_prop,cont_emp_prop,change_prev_prop,concurrent_prop,change_emp_prop,amend_pet_prop
433,SD,15,21.0,83671.93952380952,75061.38095238095,8610.558571428573,2.0476190476190474,0.38095238095238093,0.2857142857142857,0.5238095238095238,0.42857142857142855,0.23809523809523808,0.09523809523809523,0.0,0.14285714285714285,0.09523809523809523
434,SD,19,3.0,75743.0,70775.33333333333,4967.666666666667,2.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0
435,SD,21,1.0,64812.8,54121.6,10691.200000000004,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
436,SD,25,24.0,61302.582916666666,50385.666666666664,10916.91625,1.2916666666666667,0.0,0.0,0.0,0.875,0.08333333333333333,0.0,0.0,0.041666666666666664,0.0
437,SD,29,20.0,83693.68000000001,66927.11,16766.57,1.95,0.8,0.0,0.9,0.95,0.05,0.0,0.0,0.0,0.05
438,TN,11,98.0,136759.18989795918,122775.14285714286,13984.047040816326,2.7755102040816326,0.030612244897959183,0.02040816326530612,0.7040816326530612,0.04081632653061224,0.16326530612244897,0.07142857142857142,0.0,0.16326530612244897,0.19387755102040816
439,TN,13,46.0,106365.31108695653,66200.90434782609,40164.406739130434,2.282608695652174,0.17391304347826086,0.06521739130434782,0.6956521739130435,0.17391304347826086,0.17391304347826086,0.08695652173913043,0.0,0.08695652173913043,0.2826086956521739
440,TN,15,938.0,112805.30079957357,93830.20319829426,18975.097601279318,2.5874200426439233,0.24946695095948826,0.2931769722814499,0.7398720682302772,0.06883439943141435,0.2177327647476901,0.0560412224591329,0.00017768301350390902,0.19036958066808812,0.20778251599147118
441,TN,17,88.0,108917.97193181817,90371.33409090909,18546.637840909094,2.522727272727273,0.10227272727272728,0.07954545454545454,0.5795454545454546,0.17045454545454544,0.23863636363636365,0.056818181818181816,0.0,0.23863636363636365,0.09090909090909091
442,TN,19,130.0,84984.65376923076,61368.623076923075,23616.030692307693,1.7230769230769232,0.0,0.0,0.015384615384615385,0.47692307692307695,0.3,0.023076923076923078,0.0,0.08461538461538462,0.12307692307692308
